Order#,"Item Code","Brand Code","Unit Price",Qty,Subtotal
Order#,"Item Code","Unit Price",Qty,Subtotal,Category,"Material 1","Material 2"
" 000000006542"," TriangleCupEnhancersND0000S00",$1.48," 1",$1.48,"  bra "," nylon "," "
" 000000006543"," 1001BK0000OS0",$0.33," 6",$1.98,"  hosiery "," nylon "," "
" 000000006543"," 1059laBK0000OS0",$1.25," 6",$7.5,"  hosiery "," nylon "," "
" 000000006543"," 1060laBK0000OS0",$1.5," 6",$9,"  hosiery "," nylon "," "
" 000000006543"," 16BWT0000OS0",$2.5," 1",$2.5,"  Glove "," nylon "," "
" 000000006543"," 6005WTRD00OS0",$0.71," 6",$4.26,"  hosiery "," nylon "," "
" 000000006543"," 6335TQPP00OS0",$1.18," 6",$7.08,"  hosiery "," nylon "," "
" 000000006543"," 6618LAPKNEBKOS0",$3.75," 1",$3.75,"  hosiery "," nylon "," "
" 000000006543"," 81345BK0000OS0",$5," 1",$5,"  tedy "," nylon "," "
" 000000006543"," 85340BK0000S00",$11.75," 1",$11.75," Catsuit"," vynal"," "
" 000000006543"," 86380PKNE00OS0",$2.25," 2",$4.5,"  Dress "," Polyester "," "
" 000000006543"," 86568BK0000OS0",$3.25," 1",$3.25,"  Dress "," Polyester "," "
" 000000006543"," 89077BK0000OS0",$4.5," 1",$4.5,"  hosiery "," nylon "," "
" 000000006543"," 89078BK0000OS0",$3.5," 1",$3.5,"  tedy "," nylon "," "
" 000000006543"," 89108BK0000OS0",$3.5," 1",$3.5,"  hosiery "," nylon "," "
" 000000006543"," 9168BK0000OS0",$2.5," 1",$2.5,"  hosiery "," nylon "," "
" 000000006543"," 9213-6pBKBK00OS0",$5.7," 1",$5.7," bustier"," nylon"," "
" 000000006543"," a2721GD0000OS0",$1.88," 2",$3.76,"  Accessory "," plastic "," "
" 000000006543"," dp85060BKPP00S00",$22.5," 1",$22.5," Catsuit"," vynal"," "
" 000000006544"," 4143BKYL00SM0",$14.75," 1",$14.75,"  costume dress "," Polyester "," "
" 000000006544"," c150RDWT00SM0",$16.25," 1",$16.25,"  costume dress "," Polyester "," "
" 000000006545"," 1024jvWT0000S00",$24.75," 1",$24.75,"  One Piece "," nylon "," "
" 000000006545"," 1026jvWT0000OS0",$16.25," 1",$16.25,"  Hats "," Polyester "," "
" 000000006545"," 1033jvUE0000SM0",$12.25," 1",$12.25,"  bra "," nylon "," "
" 000000006545"," 1041OC0000OS0",$14.88," 1",$14.88,"  costume dress "," Polyester "," "
" 000000006545"," 443jvUE0000OS0",$7.38," 1",$7.38,"  Hats "," Polyester "," "
" 000000006546"," 8220RD000012i",$6," 1",$6," Jumpsuit"," Polyester"," "
" 000000006546"," 8220WT000007i",$6," 1",$6," bra"," nylon"," "
" 000000006546"," ADORE-3000WTPT0008i",$16.5," 1",$16.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006546"," captiva-609plRDCL0010i",$11.5," 1",$11.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006546"," dagger-2042BKPT0014i",$28," 1",$28,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006546"," delight-609uvgHPNE0007i",$13.5," 1",$13.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006546"," Kiss-206BKBK0006i",$8.5," 1",$8.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006546"," Lip-101CL000008i",$7.5," 1",$7.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006546"," SKY-309WT000007i",$8.5," 1",$8.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006547"," stm-40109UE0000OS0",$2.5," 1",$2.5,"  Glove "," nylon "," "
" 000000006547"," stm-9796RD0000SM0",$3," 1",$3,"  panty "," nylon "," "
" 000000006547"," STM-9948PRD0000OS0",$6," 2",$12,"  tedy "," nylon "," "
" 000000006547"," STM-9964PRD0000OS0",$5.5," 2",$11,"  bra "," nylon "," "
" 000000006547"," STM-9976RD0000S00",$7," 1",$7,"  babydoll "," nylon "," "
" 000000006548"," 1200slBK0000OS0",$3.25," 1",$3.25,"  panty "," nylon "," "
" 000000006548"," 1020SLWT0000OS0",$1.25," 1",$1.25,"  Accessory "," plastic "," "
" 000000006549"," Darque-D991BK0000S00",$17.5," 1",$17.5,"  Catsuit "," vynal "," "
" 000000006550"," vexxedeyesFMBK00OS0",$5," 1",$5," bustier"," nylon"," "
" 000000006552"," 400-gothikaBK000006i",$16," 1",$16,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006552"," 405-BROOKCL000007i",$7.5," 1",$7.5,"  sandal "," Upper:plastic "," Bottom:plastic"
" 000000006552"," 516-FantasyBK000010i",$14.5," 1",$14.5,"  boots "," Upper:Synthetic leather "," Bottom:plastic"
" 000000006553"," 12-0102BK0000S00",$6.75," 1",$6.75,"  bra "," nylon "," "
" 000000006554"," roma3139GM0000S00",$11.25," 1",$11.25," Coat"," Synthetic leather"," "
" 000000006555"," 552408GR0000ML0",$17," 1",$17," Catsuit"," vynal"," "
" 000000006555"," 553901RD0000ML0",$12," 1",$12," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006555"," 553905RD0000XSS",$17," 1",$17," Belt"," Synthetic leather"," "
" 000000006555"," 884529RD0000M00",$12.25," 1",$12.25," boots"," Upper:Synthetic leather"," Lower:plastic"
" 000000006556"," 4929WT0000OS0",$2.75," 6",$16.5," hosiery"," nylon"," "
