顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006578,40,001,407Vb1EGD0000OS0,407Vb1EGD0000OS0,Mardi Gras Earrings,GD0000,OS0,mardigrasearringsGD0000OS0,,ゴールド,ワンサイズ,,,1099,20141219,2,00,101,0,
110001,001,00001,000000006578,40,002,40LwuUsBK0000OS0,40LwuUsBK0000OS0,Victorian Earring,BK0000,OS0,victorianearringBK0000OS0,,ブラック,ワンサイズ,,,1099,20141219,2,00,101,0,
110001,001,00001,000000006578,40,003,40k6ymiBK0000OS0,40k6ymiBK0000OS0,Victorian Mask,BK0000,OS0,victorianmaskBK0000OS0,,ブラック,ワンサイズ,,,1599,20141219,2,00,101,0,
110001,001,00001,000000006578,40,004,403TORCFMBK00OS0,403TORCFMBK00OS0,Vexxed Eyes,FMBK00,OS0,vexxedeyesFMBK00OS0,,フレイム ブラック,ワンサイズ,,,1000,20141219,5,00,101,0,
110001,001,00001,000000006578,40,005,40v5IOHSVBK00OS0,40v5IOHSVBK00OS0,Illusion Eyes,SVBK00,OS0,illusioneyes01SVBK00OS0,,シルバー ブラック,ワンサイズ,,,1000,20141219,2,00,101,0,
110001,001,00001,000000006578,40,006,40KKfKoAQBKFTOS0,40KKfKoAQBKFTOS0,Isis Eyes,AQBKFT,OS0,isiseyes01AQBKFTOS0,,アクア ブラック フロスト,ワンサイズ,,,1000,20141219,2,00,101,0,
110001,001,00001,000000006578,40,007,4096461BK0000OS0,4096461BK0000OS0,Cat wings Swirls,BK0000,OS0,SwirlsBK0000OS0,,ブラック,ワンサイズ,,,500,20141219,2,00,101,0,
110001,001,00001,000000006578,40,008,4086093BKSV00OS0,4086093BKSV00OS0,Villain by Xotic Eyes,BKSV00,OS0,VillainBKSV00OS0,,ブラック シルバー ,ワンサイズ,,,1200,20141219,3,00,101,0,
110001,001,00001,000000006578,40,009,4096396PK0000OS0,4096396PK0000OS0,Pink Flamingo Eye,PK0000,OS0,PinkFlamingoEyePK0000OS0,,ピンク,ワンサイズ,,,600,20141219,3,00,101,0,
110001,001,00001,000000006578,40,010,4086091SV0000OS0,4086091SV0000OS0,Ice-queen by Xotic Eyes,SV0000,OS0,Ice-queenSV0000OS0,,シルバー  ,ワンサイズ,,,1200,20141219,1,00,101,0,
110001,001,00001,000000006579,04,001,04VuSQEBK0000L00,04VuSQEBK0000L00,All Over Lace Hipster Teddy Black,BK0000,L00,25403BK0000L00,,ブラック,Lサイズ,,,1495,20141219,1,00,101,0,
110001,001,00001,000000006579,04,002,04OfxAqBK0000M00,04OfxAqBK0000M00,Lace and Faux Lether Fetish Bustier with Lace Up Back Black Hose,BK0000,M00,31740hBK0000M00,,ブラック  ,Mサイズ,,,1895,20141219,1,00,101,0,
110001,001,00001,000000006579,04,003,048rorHPK0000S00,048rorHPK0000S00,32701H Floral Bustier with Hose Pink and Black,PK0000,S00,32701hPK0000S00,,ピンク  ,Sサイズ,,,1795,20141219,1,00,101,0,
110001,001,00001,000000006579,04,004,04v6uPiBK0000S00,04v6uPiBK0000S00,53058H Demi Bra and Garterbelt Set with Hose,BK0000,S00,53058hBK0000S00,,ブラック  ,Sサイズ,,,1295,20141219,2,00,101,0,
