顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006514,71,001,,,【経口避妊薬】　Lybrel  /  ライブレルジェネリック  28x1ヶ月分,,,EC061,,1錠,1.5 MG,,,6057,20141214,1,00,101,0,
110001,001,00001,000000006514,71,002,,,アムロジピン/AMLODIPINE BESYLATE 5MG 90錠,,,AH152,,,,,,213,20141214,1,00,101,0,
110001,001,00001,000000006514,71,003,,,ベナゼプリル塩酸塩 10MG 100錠/ BENAZEPRIL HCL 10MG 100TABS,,,CS452,,100MG,60カプセル,,,501,20141214,1,00,101,0,
110001,001,00001,000000006514,71,004,,,カベルゴリン/CABERGOLINE 0.5MG 8錠,,,NV031,,0.5MG,90TAB,,,8640,20141214,2,00,101,0,
110001,001,00001,000000006514,71,005,,,プロメタジン塩酸塩/PROMETHAZINE 50 MG  100錠,,,AL002,,10MG,30TAB,,,1908,20141214,2,00,101,0,
110001,001,00001,000000006514,71,006,,,【抗菌剤クラビットのジェネリック】【多剤耐性結核】レボフロキサシン/LEVOFLOXACIN 500MG 100錠,,,ID494,,500MG,50TAB,,,949,20141214,1,00,101,0,
110001,001,00001,000000006514,71,007,,,【トリコモナス症治療薬】メトロニダゾール /METRONIDAZOLE 500 MG 50錠,,,ID143,,500MG,100TAB,,,584,20141214,1,00,101,0,
110001,001,00001,000000006514,71,008,,,グリメピリド/GLIMEPIRIDE1 MG 100錠,,,DM051,,,,,,251,20141214,1,00,101,0,
110001,001,00001,000000006515,73,001,,,【血小板増多症治療薬】アナグレライド/ANAGRELIDE HCL 1MG　100カプセル,,,CS012,,1MG,100カプセル,,,2182,20141214,6,00,101,0,
110001,001,00001,000000006516,01,001,0195330BK0000L00,0195330BK0000L00,12-8507,BK0000,L00,12-8507BK0000L00,,ブラック,Lサイズ,,,900,20141214,1,00,101,0,ブラ　ナイロン
110001,001,00001,000000006516,01,002,0195331BK0000XL0,0195331BK0000XL0,12-8507,BK0000,XL0,12-8507BK0000XL0,,ブラック,ＸＬサイズ,,,900,20141214,1,00,101,0,ブラ　ナイロン
110001,001,00001,000000006516,01,003,0129602BK0000S00,0129602BK0000S00,Leather mini skirt,BK0000,S00,13-602BK0000S00,,ブラック,Sサイズ,,,3300,20141214,1,00,101,0,ミニスカート　合皮
110001,001,00001,000000006516,01,004,0128905HP0000L00,0128905HP0000L00,13-9077 Patent pleated skirt Allure Leather Bondage Fetish SM,HP0000,L00,13-9077HP0000L00,,ホットピンク,Lサイズ,,,1100,20141214,2,00,101,0,スカート　ナイロン
110001,001,00001,000000006516,01,005,0106889BK0000S00,0106889BK0000S00,Leather Bustier with Zipper,BK0000,S00,5-113BK0000S00,,ブラック,Sサイズ,,,3200,20141214,1,00,101,0,ビスチェ　合皮
110001,001,00001,000000006516,01,006,0155fzpBK0000S00,0155fzpBK0000S00,5-7402 Tempt & tease bustier,BK0000,S00,5-7402BK0000S00,,ブラック,Sサイズ,,,1400,20141214,1,00,101,0,ビスチェ　合皮
110001,001,00001,000000006516,01,007,0167391BK0000OS0,0167391BK0000OS0,G-2007 VINYL LACE UP GLOVE,BK0000,OS0,G-2007BK0000OS0,,ブラック,ワンサイズ,,,800,20141214,1,00,101,0,
110001,001,00001,000000006517,04,001,0489628WTPK00S00,0489628WTPK00S00,22867H True Bliss Bustier Coat Set with Hose,WTPK00,S00,22867HWTPK00S00,,ホワイト ピンク,Sサイズ,,,2850,20141214,1,00,101,0,ビスチェ　ナイロン
110001,001,00001,000000006517,04,002,04vNVzFBKJD00S00,04vNVzFBKJD00S00,Mystical Teddiette with black hose Black and Teal,BKJD00,S00,24490hBKJD00S00,,ブラック ジェイド(翡翠） ,Sサイズ,,,1295,20141214,1,00,101,0,テディ　ナイロン
110001,001,00001,000000006517,04,003,0489657PK0000S00,0489657PK0000S00,babydoll/baby doll/30591 Sweet Boutique Baby Doll,PK0000,S00,30591PK0000S00,,ピンク,Sサイズ,,,1775,20141214,1,00,101,0,ベビードール　ナイロン
110001,001,00001,000000006517,04,004,04VHILbBKPK00L00,04VHILbBKPK00L00,30767H Love Set W/Hose,BKPK00,L00,30767hBKPK00L00,,ブラック ピンク,Lサイズ,,,2695,20141214,1,00,101,0,ビスチェ　ナイロン
110001,001,00001,000000006517,04,005,04yNx4nBKWT00M00,04yNx4nBKWT00M00,31528 New Head Maid,BKWT00,M00,31528BKWT00M00,,ブラック ホワイト,Mサイズ,,,2200,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006517,04,006,04s6ImXBK0000S00,04s6ImXBK0000S00,Lace and Faux Lether Fetish Bustier with Lace Up Back Black Hose,BK0000,S00,31740hBK0000S00,,ブラック  ,Sサイズ,,,1895,20141214,1,00,101,0,ビスチェ　ナイロン
110001,001,00001,000000006518,30,001,30U5cGaUE0000OS0,30U5cGaUE0000OS0,stm-40109 Seven till Midnight Satin Gloves Sexy Lingerie,UE0000,OS0,stm-40109UE0000OS0,,ブルー,ワンサイズ,,,500,20141214,1,00,101,0,グローブ　ナイロン
110001,001,00001,000000006518,30,002,30ptxQILPBK00OS0,30ptxQILPBK00OS0,Fingerless Elbow Length Lace-Up Gloves (Packaged),LPBK00,OS0,40118LPBK00OS0,,ペールピンク ブラック,ワンサイズ,,,500,20141214,1,00,101,0,グローブ　ナイロン
110001,001,00001,000000006518,30,003,30QlME4BK0000OS0,30QlME4BK0000OS0,STM-9764P Three piece iame set,BK0000,OS0,stm-9764pBK0000OS0,,ブラック,ワンサイズ,,,1300,20141214,1,00,101,0,ブラ　ナイロン
110001,001,00001,000000006518,30,004,30wOpHbBK0000M00,30wOpHbBK0000M00,STM-9771 Mesh & Scallop Lace Panty (Non-Packaged),BK0000,M00,stm-9771BK0000M00,,ブラック,Mサイズ,,,350,20141214,2,00,101,0,パンティ　ナイロン
110001,001,00001,000000006518,30,005,30LIcY6PK0000L00,30LIcY6PK0000L00,Candy Cat Cami Set (Non-Packaged),PK0000,L00,9917PK0000L00,,ピンク,Lサイズ,,,1200,20141214,1,00,101,0,キャミソール　ナイロン
110001,001,00001,000000006519,24,001,24fcBWdRD0000S00,24fcBWdRD0000S00,1023sc Skirt Set,RD0000,S00,1023scRD0000S00,,レッド,Sサイズ,,,4950,20141214,1,00,101,0,コスチュームドレス　ナイロン
110001,001,00001,000000006519,24,002,2481088BK0000SM0,2481088BK0000SM0,7005Black  Go Go Girl/J.Valentine  Stretch Velvet Shorts,BK0000,SM0,7005BlackBK0000SM0,,ブラック,S/Mサイズ,,,675,20141214,1,00,101,0,パンティ　ナイロン
