顧客コード,サイトコード,在庫場所コード,発注番号,仕入れ先コード,明細行番号,システムsku,品番,品名,構成１ラベル,構成２ラベル,構成３ラベル,構成４ラベル,構成１名,構成２名,構成３名,構成４名,発注単価,入荷予定日,入荷予定数量,パターンコード(分類),パターンコード(パターン),取り消し区分,備考欄
110001,001,00001,000000006557,71,001,ID013,ID013,【ヘルペス治療薬】アシクロビル/Acyclovir　800mg 100カプセル,,,ID013,,800MG,100CAP,,,3799,20141213,4,00,101,0,
110001,001,00001,000000006557,71,002,,,ノルトリプチリン/NORTRIPTYLINE 10 MG 100カプセル,,,PS231,,2MG,30TAB,,,281,20141213,2,00,101,0,
110001,001,00001,000000006557,71,003,,,ロピニロール塩酸塩 /ROPINIROLE HCL EQ 5MG  100錠,,,AZ082,,,,,,2700,20141213,2,00,101,0,
110001,001,00001,000000006558,01,001,01FgigVBKRD00OS0,01FgigVBKRD00OS0,Passion Fur Wrist Cuffs,BKRD00,OS0,2062alBKRD00OS0,,ブラック レッド,ワンサイズ,,,1000,20141213,1,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006558,01,002,01geNIvBKRD00OS0,01geNIvBKRD00OS0,Passion Fur Ankle Cuffs,BKRD00,OS0,2063alBKRD00OS0,,ブラック レッド,ワンサイズ,,,1000,20141213,1,00,101,0,アクセサリー　プラスチック
110001,001,00001,000000006558,01,003,0106790BK0000M00,0106790BK0000M00,Low Rise Boot Cut Leather Pants,BK0000,M00,16-300BK0000M00,,ブラック,Mサイズ,,,7975,20141213,1,00,101,0,パンツ　合皮
110001,001,00001,000000006558,01,004,01m56BTBK0000S00,01m56BTBK0000S00,17-0402 Faux Leather Corset Dress,BK0000,S00,17-0402BK0000S00,,ブラック,Sサイズ,,,2450,20141213,1,00,101,0,ワンピース　合皮
110001,001,00001,000000006559,34,001,34QTQlFYLMT00OS0,34QTQlFYLMT00OS0,ne1813mu Glowstick Backless Dress Bodyzone Dance Rave Wear UV react Neon Explosion,YLMT00,OS0,ne1813muYLMT00OS0,,イエロー マルチカラー,ワンサイズ,,,2800,20141213,2,00,101,0,ドレス　ナイロン
110001,001,00001,000000006559,34,002,34S95HYSV0000OS0,34S95HYSV0000OS0,pr1040fo dance wear Foil Garter Set w/ Spaghetti bodyzone,SV0000,OS0,pr1040foSV0000OS0,,シルバー,ワンサイズ,,,740,20141213,1,00,101,0,レッグラップ　ポリエステル
110001,001,00001,000000006560,20,001,20urxMrBK0000OS0,20urxMrBK0000OS0,1706 STOCKINGS COQUETTE,BK0000,OS0,1706BK0000OS0,,ブラック,ワンサイズ,,,125,20141213,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006560,20,002,2063864WT0000OS0,2063864WT0000OS0,1726 STOCKINGS Sheer thigh high stockings with lace topCOQUETTE,WT0000,OS0,1726WT0000OS0,,ホワイト  ,ワンサイズ,,,200,20141213,3,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006560,20,003,2096104BK0000OS0,2096104BK0000OS0,1756 Sheer back seam thigh high stockings,BK0000,OS0,1756BK0000OS0,,ブラック  ,ワンサイズ,,,150,20141213,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006560,20,004,2096108RD0000OS0,2096108RD0000OS0,1769 Fence net thigh high stocking,RD0000,OS0,1769CQTRD0000OS0,,レッド,ワンサイズ,,,225,20141213,3,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006560,20,005,20BT32YBK0000OS0,20BT32YBK0000OS0,1952 Lycra chemise,BK0000,OS0,1952BK0000OS0,,ブラック  ,ワンサイズ,,,890,20141213,1,00,101,0,スリップ　ナイロン
110001,001,00001,000000006560,20,006,20WKnwUWT0000OS0,20WKnwUWT0000OS0,1979 Scalloped stretch lace and sheer lycra babydoll with center front bow,WT0000,OS0,1979WT0000OS0,,ホワイト,ワンサイズ,,,890,20141213,1,00,101,0,スリップ　ナイロン
110001,001,00001,000000006560,20,007,2095936BK0000OS0,2095936BK0000OS0,D1729 Darque Wetlook thigh high stay up stockings with scalloped lace silicone grip tops,BK0000,OS0,D1729BK0000OS0,,ブラック,ワンサイズ,,,800,20141213,6,00,101,0,ストッキング　ナイロン
110001,001,00001,000000006560,20,008,2087318BK0000OS0,2087318BK0000OS0,d9243 Garter Belt Darque/Wet look/Bondage/Fetish DARQUE,BK0000,OS0,d9243BK0000OS0,,ブラック  ,ワンサイズ,,,1200,20141213,1,00,101,0,ガーター　ナイロン
110001,001,00001,000000006560,20,009,2087337BK0000XL0,2087337BK0000XL0,D9248 Dress Darque/Wet look/Bondage/Fetish DARQUE/SM,BK0000,XL0,D9248BK0000XL0,,ブラック,ＸＬサイズ,,,1800,20141213,1,00,101,0,ドレス　ナイロン
110001,001,00001,000000006560,20,010,2087342BK0000S00,2087342BK0000S00,D9251 Dress Darque/Wet look/Bondage/Fetish DARQUE/SM,BK0000,S00,D9251BK0000S00,,ブラック,Sサイズ,,,2200,20141213,1,00,101,0,ワンピース　ナイロン
110001,001,00001,000000006560,20,011,2095939BK0000L00,2095939BK0000L00,D9254 Wetlook skirt with stretch lace side panels lace up back and garters DARQUE,BK0000,L00,D9254BK0000L00,,ブラック,Lサイズ,,,1750,20141213,1,00,101,0,ガーター　ナイロン
